YY MM DD HH 11502 10304 20203
1980 2 15 12 1.4795031055900622e-5 0.026146 0.064518
1980 2 15 15 0.1380985856625259 0.095209 6.22e-4
1980 2 15 18 9.079451345755694e-6 3e-6 0.382386
1980 2 15 21 2.8726708074534157e-8 0 0.138125
1980 2 16 0 2.8726708074534157e-8 2e-6 0.155264
1980 2 16 3 2.8726708074534157e-8 0 0.279174
1980 2 16 6 2.8726708074534157e-8 5e-6 0.405755
1980 2 16 9 0.0023597365424430643 0.002301 0.482832
1980 2 16 12 0.06610974094202898 0.103894 0.273173
1980 2 16 15 0.26037268918219464 1.536125 0.151645
1980 2 16 18 0.6760122611283643 0.213257 0.04024
1980 2 16 21 1.152507115942029 6.81e-4 0.406692
1980 2 17 0 0.5234154609213251 0 0.01693
1980 2 17 3 0.07817573706004141 0 0.006761
1980 2 17 6 0.0654615284679089 0 0.05193
1980 2 17 9 0.2979724699792961 0.00325 6e-6
1980 2 17 12 0.9243470383022775 0.132223 0
1980 2 17 15 0.5875638548136646 0.039523 0
1980 2 17 18 0.043227245859213254 0 0
1980 2 17 21 0.02498872722567288 0 0
1980 2 18 0 0.11765731030020704 0 0
1980 2 18 3 0.03031931547619048 0 0
1980 2 18 6 0.013646697463768117 0 0
1980 2 18 9 0.013792600414078676 0 0
1980 2 18 12 0.35163247567287786 0 0
1980 2 18 15 0.24000154218426503 0.01907 0
1980 2 18 18 3.904917184265011e-5 0 0
1980 2 18 21 2.8726708074534157e-8 0 0
1980 2 19 0 2.8726708074534157e-8 0 0
1980 2 19 3 2.8726708074534157e-8 0 0
1980 2 19 6 2.8726708074534157e-8 0 0
1980 2 19 9 2.8726708074534157e-8 0 0
1980 2 19 12 2.8726708074534157e-8 0 0
1980 2 19 15 2.8726708074534157e-8 0 0
1980 2 19 18 2.8726708074534157e-8 0 0
1980 2 19 21 2.8726708074534157e-8 0 0
1980 2 20 0 2.8726708074534157e-8 0 0
1980 2 20 3 2.8726708074534157e-8 0 0
1980 2 20 6 2.8726708074534157e-8 0 0
1980 2 20 9 2.8726708074534157e-8 0 0
1980 2 20 12 2.8726708074534157e-8 0 0
1980 2 20 15 0.22342846816770184 0 0
1980 2 20 18 0.01177161645962733 0 0
1980 2 20 21 2.8726708074534157e-8 0 0
1980 2 21 0 2.8726708074534157e-8 0 0
1980 2 21 3 2.8726708074534157e-8 0 0
1980 2 21 6 2.8726708074534157e-8 0 0
1980 2 21 9 2.8726708074534157e-8 0 0
1980 2 21 12 2.8726708074534157e-8 0.00554 0
1980 2 21 15 0.061548302277432715 0.047003 0
1980 2 21 18 6.822826086956522e-5 8.1e-5 0
1980 2 21 21 2.8726708074534157e-8 0 0
1980 2 22 0 2.8726708074534157e-8 0 0
1980 2 22 3 2.8726708074534157e-8 0 0
1980 2 22 6 2.8726708074534157e-8 0 0
1980 2 22 9 2.8726708074534157e-8 0 0
1980 2 22 12 5.309290890269151e-5 0 0
1980 2 22 15 0.0014480517598343685 0.143088 0
1980 2 22 18 2.8726708074534157e-8 0 0
1980 2 22 21 2.8726708074534157e-8 0 0
1980 2 23 0 2.8726708074534157e-8 0 0
1980 2 23 3 2.8726708074534157e-8 0 0
1980 2 23 6 2.8726708074534157e-8 0 0
1980 2 23 9 0.0349994899068323 0 0
1980 2 23 12 0.020853693581780536 0.045439 1.28e-4
1980 2 23 15 0.03775899637681159 0.139336 0.003268
1980 2 23 18 0.009014558229813665 0.00813 2e-6
1980 2 23 21 0.008128101966873707 4e-6 0
1980 2 24 0 5.087572463768116e-4 0 0
1980 2 24 3 9.788716356107661e-5 0 0
1980 2 24 6 2.8726708074534157e-8 3.1e-5 0
1980 2 24 9 5.614130434782609e-6 0.001444 0
1980 2 24 12 0.10909629166666666 0.272048 0
1980 2 24 15 0.4801025072463768 1.280391 7.84e-4
1980 2 24 18 0.03364399844720497 0.284761 1e-6
1980 2 24 21 2.8726708074534157e-8 1.61e-4 0
1980 2 25 0 2.8726708074534157e-8 0 0
1980 2 25 3 2.8726708074534157e-8 0 0
1980 2 25 6 2.8726708074534157e-8 2e-6 0
1980 2 25 9 2.8726708074534157e-8 2.21e-4 0
1980 2 25 12 0.0014780654761904764 0.083112 9.83e-4
1980 2 25 15 0.25471034083850935 0.48928 1.7e-4
1980 2 25 18 0.0017283894927536234 0.009152 0
1980 2 25 21 2.8726708074534157e-8 0 0
1980 2 26 0 2.8726708074534157e-8 0 0
1980 2 26 3 2.8726708074534157e-8 0 0
1980 2 26 6 2.8726708074534157e-8 0 0
1980 2 26 9 2.8726708074534157e-8 0 0
1980 2 26 12 2.8726708074534157e-8 0.072473 0
1980 2 26 15 0.15545335248447206 0.466169 0
1980 2 26 18 9.014764492753624e-4 0.001761 0
1980 2 26 21 2.8726708074534157e-8 0 0
1980 2 27 0 2.8726708074534157e-8 0 0
1980 2 27 3 2.8726708074534157e-8 0 0
1980 2 27 6 2.8726708074534157e-8 0 0
1980 2 27 9 2.8726708074534157e-8 0 0
1980 2 27 12 2.8726708074534157e-8 0 0
1980 2 27 15 0.23231056030020705 0.257567 0
1980 2 27 18 1.8636542443064183e-4 2.61e-4 0
1980 2 27 21 2.8726708074534157e-8 0 0
1980 2 28 0 2.8726708074534157e-8 0 0
1980 2 28 3 2.8726708074534157e-8 0 0
1980 2 28 6 2.8726708074534157e-8 0 0
1980 2 28 9 2.8726708074534157e-8 0 0
1980 2 28 12 2.8726708074534157e-8 0.005587 0.002526
1980 2 28 15 0.0029392264492753622 0.062314 0.032411
1980 2 28 18 2.8726708074534157e-8 0 0
1980 2 28 21 2.8726708074534157e-8 0 3e-6
1980 2 29 0 2.8726708074534157e-8 0 0.004779
1980 2 29 3 2.8726708074534157e-8 0 5.7e-5
1980 2 29 6 2.8726708074534157e-8 0 0.012986
1980 2 29 9 2.8726708074534157e-8 0 0.013671
1980 2 29 12 2.8726708074534157e-8 0 0.156379
1980 2 29 15 2.8726708074534157e-8 1.16e-4 0.073092
1980 2 29 18 2.8726708074534157e-8 0 0.058268
1980 2 29 21 2.8726708074534157e-8 0 0.049578
1980 3 1 0 2.8726708074534157e-8 0 0.026122
1980 3 1 3 2.8726708074534157e-8 0 0.0185
1980 3 1 6 2.8726708074534157e-8 0 0.260036
1980 3 1 9 2.8726708074534157e-8 0 0.045171
1980 3 1 12 2.8726708074534157e-8 0.033502 0.061443
1980 3 1 15 0.19605225155279501 0.387692 0.00507
1980 3 1 18 7.315709109730848e-5 6.22e-4 0.002296
1980 3 1 21 2.8726708074534157e-8 0 0.002565
1980 3 2 0 2.8726708074534157e-8 0 0
1980 3 2 3 2.8726708074534157e-8 0 0.004571
1980 3 2 6 2.8726708074534157e-8 1.4e-5 0.00233
1980 3 2 9 2.0746014492753625e-4 3.78e-4 0.002721
1980 3 2 12 0.017276893115942032 0.073776 0.001099
1980 3 2 15 0.13463005072463768 0.262664 0.027074
1980 3 2 18 3.448343685300207e-5 0.008019 0.033217000000000003
1980 3 2 21 2.8726708074534157e-8 2.92e-4 0
1980 3 3 0 0.007905305900621119 0 0.219697
1980 3 3 3 3.544513457556936e-6 0 0
1980 3 3 6 2.8726708074534157e-8 0 0
1980 3 3 9 0.019376935817805387 0 6.8e-5
1980 3 3 12 2.8726708074534157e-8 0 0.103957
1980 3 3 15 2.8726708074534157e-8 0 0.113213
1980 3 3 18 2.8726708074534157e-8 0 0.124867
1980 3 3 21 2.8726708074534157e-8 0 0.026859
1980 3 4 0 2.8726708074534157e-8 0 0.014859
1980 3 4 3 2.8726708074534157e-8 0 0
1980 3 4 6 2.8726708074534157e-8 0 0
1980 3 4 9 2.8726708074534157e-8 0 0
1980 3 4 12 2.8726708074534157e-8 0 0.044406
1980 3 4 15 2.8726708074534157e-8 0 0.034702
1980 3 4 18 2.8726708074534157e-8 0 0.005231
1980 3 4 21 2.8726708074534157e-8 0 0.007059
1980 3 5 0 2.8726708074534157e-8 0 0.001027
1980 3 5 3 2.8726708074534157e-8 0 0
1980 3 5 6 2.8726708074534157e-8 0 0
1980 3 5 9 2.8726708074534157e-8 0 0
1980 3 5 12 0.16659551112836438 0.17119500000000001 0.022017
1980 3 5 15 0.11950046169772258 0.368405 0.025233
1980 3 5 18 3.544513457556936e-6 0.002827 0
1980 3 5 21 2.8726708074534157e-8 0 1.4e-5
1980 3 6 0 2.8726708074534157e-8 0 0
1980 3 6 3 2.8726708074534157e-8 0 0
1980 3 6 6 2.8726708074534157e-8 0 0
1980 3 6 9 0.02927007582815735 0 0.007834
1980 3 6 12 0.22088734912008284 0.028785 0.344063
1980 3 6 15 0.10213979166666667 0.167477 2.667485
1980 3 6 18 2.352342132505176e-4 0.002908 1.172686
1980 3 6 21 1.3036490683229815e-5 5.89e-4 0.849191
1980 3 7 0 0.004624281832298137 4.1e-5 0.645183
1980 3 7 3 0.010254053571428572 4.1e-5 1.528421
1980 3 7 6 0.03081616019668737 0.002322 1.305676
1980 3 7 9 0.293495274068323 0.018519 1.450676
1980 3 7 12 0.23292316899585921 0.16702 0.194305
1980 3 7 15 0.1086029596273292 0.829751 0.020033
1980 3 7 18 0.0757371948757764 0.035027 0.161861
1980 3 7 21 0.07819596376811595 0 0.056716
1980 3 8 0 0.1527232867494824 0 0.207657
1980 3 8 3 0.0857898998447205 0 0.015946
